project_id|council|project_name|sector|constituency|ward|approved_amount_zmw|status|funding_source|source_doc|scraped_at|has_amount_zmw|is_approved|sector_category|amount_band|has_ward|inferred_year
KAB-0023|Kabwe Municipal Council|Completion of Chindwin wall fence|Education|Kabwe Central|Kaputula||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|False|True|Social|Unknown|True|2025
KAB-0024|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0025|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0026|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0027|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0028|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0029|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0030|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0031|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0032|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0033|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0034|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0035|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0036|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0037|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0038|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0039|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0040|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0041|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0042|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0043|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0044|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0045|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0046|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0047|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0048|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0049|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0050|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0051|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0052|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0053|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0054|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0055|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0056|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0057|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0058|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0059|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0060|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0061|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0062|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0063|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0064|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0065|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0066|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0067|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0068|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0069|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0070|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0071|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0072|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0073|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0074|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0075|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0076|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0077|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0078|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0079|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0080|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0081|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0082|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0083|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0084|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0085|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0086|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
