financial_year|revenue_category|revenue_code|revenue_description|approved_budget_2025|revised_budget_2026|estimate_2027|page
2025|Fees and Charges|067|Ablution Fee|283680.0|312048.0|343253.0|3
2025|Fees and Charges|072|Booth fees|28000.0|30800.0|34496.0|3
2025|Fees and Charges|074|Sale of Bid Document s|50000.0|50000.0|50000.0|3
2025|Fees and Charges|078|Erection of Tombston e|5000.0|5000.0|5000.0|3
2025|Fees and Charges|082|Telecommunication s ite rentals|96045.0|96045.0|96045.0|3
2025|Fees and Charges|099|Other fees and charg es|824750.0|907225.0|998058.0|3
2025|Licenses|002|Liquor licence|366000.0|402600.0|442860.0|4
2025|Licenses|003|Firearm and ammuniti on licence|26000.0|26600.0|27260.0|4
2025|Licenses|004|Petroleum Storage lice nce|400000.0|440000.0|492800.0|4
2025|Licenses|005|Dog licence|40000.0|44000.0|49280.0|4
2025|Levies|001|Livestock Movement le vy|32400.0|32400.0|32400.0|4
2025|Levies|002|Birds levy|60000.0|66000.0|72600.0|4
2025|Levies|004|Pole levy|40000.0|44000.0|49280.0|4
2025|Levies|006|Sand levy|43000.0|47300.0|52976.0|4
2025|Levies|011|Telecommunication M ast|220500.0|220500.0|220500.0|4
2025|Levies|017|Trading (Wholesale) B usiness Levy|100000.0|110000.0|121000.0|4
2025|Levies|018|Trading (Retail) Consu mable groceries business|880100.0|968110.0|1064921.0|4
2025|Levies|021|Manufacturing|62500.0|68750.0|75625.0|4
2025|Levies|029|Professional Occupati on|249900.0|274890.0|302379.0|4
2025|Levies|030|Scrap Metal Dealers|12500.0|13750.0|15125.0|4
2025|Levies|031|Car Wash|20000.0|22000.0|24640.0|4
2025|Permits|001|Health permits|1847500.0|2032250.0|2276120.0|4
2025|Permits|008|Burial permits and gra ve sites|585000.0|643500.0|720720.0|4
2025|Permits|009|Fire certificate|3245000.0|3245000.0|3634400.0|4
2025|Permits|010|Extension of Business hours permits|20000.0|22000.0|24640.0|4
2025|Permits|099|Primary, Secondary an d Tertiary permits|140000.0|154000.0|172480.0|4
2025|Charges|001|Service Charges Resi dential plots|5200000.0|5720000.0|6406400.0|4
2025|Charges|002|Service Charges Indus trial plots|600000.0|660000.0|739200.0|4
2025|Charges|004|Premium Plot Comme rcial|1500000.0|1650000.0|1848000.0|4
2025|Charges|007|Land Application Char ges|150000.0|165000.0|181500.0|4
2025|Charges|009|Change of ownership|4250.0|4675.0|5143.0|4
2025|Charges|010|Sub-division of plot|144000.0|158400.0|174240.0|4
2025|Charges|011|Land regularisation|75000.0|82500.0|90750.0|4
2025|Charges|012|Change of Land use|212800.0|234000.0|260000.0|4
2025|Charges|099|Land Charges|1700000.0|1870000.0|2000000.0|4
2025|Other Incomes|099|Other Inc ome|2898877.0|500000.0|1500000.0|5
2025|National Support (Grants)|001|Constitue ncy Develop ment Fund|72116301.0|2116301.0|72116301.0|5
2025|National Support (Grants)|002|Roads Gr ant|3200587.0|200587.0|3200587.0|5
2025|National Support (Grants)|003|Health Gr ant|3649035.0|649035.0|3649035.0|5
2025|National Support (Grants)|004|Local Go vernment Equ alisation Fund|23857381.0|3857381.0|23857381.0|5
2025|National Support (Grants)|005|Grants in lieu of Rates|1200000.0|200000.0|1200000.0|5
2025|National Support (Grants)|099|Other Gr ants|29494551.0|527645.0|10797645.0|5
