page|source_doc|Strategies|Program|Activities|Location|Baselin|Target|Year 1|Year 2|Year 3|Year 4|Year 5|Responsible|Strategy|Baseline|"Year
1"|"Year
2"|"Year
4"|"Year
5"|Resp. Agency/Dept|Indicator|Input|"Cost
(ZMW)"|"Potential
Source funds"|"Locati
on"|"Baseli
ne"|"Targ
et"|"3
2
0
2"|"4
2
0
2"|"5
2
0
2"|"6
2
0
2"|"7
2
0
2"|"8
2
0
2"|"9
2
0
2"|"0
3
0
2"|"1
3
0
2"|"2
3
0
2"|Freq
170|IDP_MAIN|||"Rehabilitation of
50Km damaged
township roads and
drainages"|Entire district|0|50km|10km|10km|10km|10km|10km|"Kabwe Municipal
Council and RDA"|||||||||||||||||||||||||
170|IDP_MAIN|||"Construction and
maintenance of 150
km feeder roads and
drainages"|Entire district|0|"150k
m"|40|30|30|25|25|"Kabwe Municipal
Council and RDA"|||||||||||||||||||||||||
170|IDP_MAIN|||"Construction and
maintenance of 50 Km
township roads and
drainages"|Entire district|0|50km|10|10|10|10|10|"Kabwe Municipal
Council and RDA"|||||||||||||||||||||||||
170|IDP_MAIN|||"Gazetting/Street
/naming of 120
undefined
township/feeder
roads"|Entire district|0|"120
street
s"|40|20|20|20|20|"Kabwe Municipal
Council"|||||||||||||||||||||||||
200|IDP_MAIN||"Forestry
management"|"Development of
Integrated Natural
Resource
Management Plan"|CBD||1|||||||"Development of
integrated
natural resource
management
plans for effective
forest
management"|0.0||1.0|||Forestry Department||||||||||||||||||
280|IDP_MAIN||"Forestry
management"|"Development of
Integrated Natural
Resource Management
Plan"|CBD|||||||||"Development of
integrated natural
resource
management
plans for effective
forest
management"||||||Forestry Department|"No. of plans
prepared"|"Stationary,
Fuel,
Human
resource"|100,000|FD, KMC, GRZ||||||||||||||
340|IDP_MAIN|||"Development of
Integrated
Natural Resource
Management
Plan"|||||||||"Forestry Depart
ment"|"Developme
nt of
integrated
natural
resource
managemen
t plans for
effective
forest
managemen
t"|||||||"No. of plans
prepared"||||CBD|0.0|1.0||1.0|||||||||"One
off"
340|IDP_MAIN|||"Establishment of
100 agroforestry
plots"|||||||||"Forestry
Department"|"To reduce
deforestatio
n through
establishme
nt of 100
agroforestry"|||||||"No.of plots
created"||||"All
Wards"|0.0|100.0|20.0|20.0|20.0|20.0|20.0||||||"Annua
l"
