revenue_category|revenue_code|revenue_description|approved_budget_2025|revised_budget_2026|budget_estimate_2027|source_url|source_document
Fees and Charges|041|Dumb site fees|39600|43560|48787|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|045|Notice of marriage fees|61250|67375|74113|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|046|Abattoir/meat inspection fees|11500|12650|14168|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|047|Registration of clubs and societies|100000|110000|121000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|051|Farm produce Fee|150000|200000|200000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|053|Certification of documents|2160|2160|3600|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|055|Illegal Parking of vehicles|990000|990000|990000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|063|Billboards and banners|800000|880000|985600|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|064|Hire of Transport and Equipment|25400|189000|288000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|065|Council Minutes Extracts|90000|90000|90000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|066|Penalties|750000|580500|640210|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|067|Ablution Fee|283680|312048|343253|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|072|Booth fees|28000|30800|34496|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|074|Sale of Bid Documents|50000|50000|50000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|078|Erection of Tombstone|5000|5000|5000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|082|Telecommunication site rentals|96045|96045|96045|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|099|Other fees and charges|824750|907225|998058|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Licenses|002|Liquor licence|366000|402600|442860|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Licenses|003|Firearm and ammunition licence|26000|26600|27260|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Licenses|004|Petroleum Storage licence|400000|440000|492800|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Licenses|005|Dog licence|40000|44000|49280|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|001|Livestock Movement levy|32400|32400|32400|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|002|Birds levy|60000|66000|72600|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|004|Pole levy|40000|44000|49280|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|006|Sand levy|43000|47300|52976|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|011|Telecommunication Mast|220500|220500|220500|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|017|Trading (Wholesale) Business Levy|100000|110000|121000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|018|Trading (Retail) Consumable groceries business|880100|968110|1064921|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|021|Manufacturing|62500|68750|75625|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|029|Professional Occupation|249900|274890|302379|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|030|Scrap Metal Dealers|12500|13750|15125|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Levies|031|Car Wash|20000|22000|24640|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Permits|001|Health permits|1847500|2032250|2276120|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Permits|008|Burial permits and grave sites|585000|643500|720720|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Permits|009|Fire certificate|3245000|3245000|3634400|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Permits|010|Extension of Business hours permits|20000|22000|24640|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Permits|099|Primary, Secondary and Tertiary permits|140000|154000|172480|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Charges|001|Service Charges Residential plots|5200000|5720000|6406400|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Charges|002|Service Charges Industrial plots|600000|660000|739200|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Charges|004|Premium Plot Commercial|1500000|1650000|1848000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Charges|007|Land Application Charges|150000|165000|181500|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Charges|009|Change of ownership|4250|4675|5143|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Charges|010|Sub-division of plot|144000|158400|174240|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Charges|011|Land regularisation|75000|82500|90750|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Charges|012|Change of Land use|212800|234000|260000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Charges|099|Land Charges|1700000|1870000|2000000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
