year|constituency|funding_type|amount_kwacha|source_note|source_url|source_document
2025|Kabwe Central|CDF Funding|6205128|8(a)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Bwacha|CDF Funding|6205128|8(a)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
