project_number|year|constituency|project_name|project_description|ward|project_site|application_amount|engineers_estimate|approved_amount|contract_amount|status|source_url|source_document
5|2024|Bwacha|Construction of Roads and Drainage System in Chililalila ward|Construction of Roads and Drainage System in Chililalila ward|Chililalila|Chililalila ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
6|2024|Bwacha|Construction of Drainages and Culverts in Kawama ward|Construction of Drainages and Culverts in Kawama ward|Kawama|Kawama ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
7|2024|Bwacha|Grading and Gravelling of Access Roads in Kawama ward|Grading and Gravelling of Access Roads in Kawama ward|Kawama|Kawama ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
8|2024|Bwacha|Construction of Roads and Drainages in Kang'omba ward|Construction of Roads and Drainages in Kang'omba ward|Kangomba|Kangomba ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
9|2024|Bwacha|Construction of Road Network in Kang'omba ward|Construction of Road Network in Kang'omba ward|Kangomba|Kangomba ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
1|2024|Bwacha|Construction of a Police Post in Chinyama ward|Construction of a Police Post in Chinyama ward|Chinyama|Nyama zone||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
2|2024|Bwacha|Construction of a Police Post in Kawama ward|Construction of a Police Post in Kawama ward|Kawama|Kawama ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
1|2024|Bwacha|Renovation of Boreholes and full installation of Pipes and Hand Pumps|Renovation of Boreholes and full installation of Pipes and Hand Pumps|Chinyama|Kalwelwe zone||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
2|2024|Bwacha|Drilling of Boreholes at in Chililalila ward|Drilling of Boreholes at in Chililalila ward|Chililalila|Chililalila ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
3|2024|Bwacha|Water Reticulation Improvement and Rehabilitation of Classroom Block in Ngungu ward|Water Reticulation Improvement and Rehabilitation of Classroom Block in Ngungu ward|Ngungu|Ngungu ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
4|2024|Bwacha|Drilling of Boreholes in Kangomba ward|Drilling of Boreholes in Kangomba ward|Kangomba|Kangomba ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
5|2024|Bwacha|Procurement of 8 Skip Bins in Ngungu ward|Procurement of 8 Skip Bins in Ngungu ward|Ngungu|Ngungu ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
1|2024|Bwacha|Rehabilitation of Muleya Stadium|Rehabilitation of Muleya Stadium|Bwacha|Bwacha ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
1|2024|Bwacha|Procurement of 2 Megaphones and 500 Garden Chairs for Community Meetings|Procurement of 2 Megaphones and 500 Garden Chairs for Community Meetings|Chimaniman i|Chimanimani ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
2|2024|Bwacha|Procurement of 4 Tents for Funeral Occassions in Kawama ward|Procurement of 4 Tents for Funeral Occassions in Kawama ward|Kawama|Kawama ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
3|2024|Bwacha|Construction of Council Office (For Councilor and WDC)|Construction of Council Office (For Councilor and WDC)|Kawama|Kawama ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
