page|source_doc|Strategies|Program|Activities|Location|Baselin|Target|Year 1|Year 2|Year 3|Year 4|Year 5|Responsible|Strategy|Baseline|"Year
1"|"Year
2"|"Year
4"|"Year
5"|Resp. Agency/Dept|"Locati
on"|"Baseli
ne"|"Targ
et"|"3
2
0
2"|"4
2
0
2"|"5
2
0
2"|"6
2
0
2"|"7
2
0
2"|"8
2
0
2"|"9
2
0
2"|"0
3
0
2"|"1
3
0
2"|"2
3
0
2"|Indicator|Freq
170|IDP_MAIN|||||e|||||||||||||||||||||||||||||
170|IDP_MAIN|"Improve
access to rural
and urban
areas.
Relevant"|"Infrastructure
development"|Objective 1: To develop and maintain 250km of safe and sustainable road network and drainage system by 2027|||||||||||||||||||||||||||||||
170|IDP_MAIN|||"Rehabilitation of
50Km damaged
township roads and
drainages"|Entire district|0|50km|10km|10km|10km|10km|10km|"Kabwe Municipal
Council and RDA"||||||||||||||||||||||
170|IDP_MAIN|||"Construction and
maintenance of 150
km feeder roads and
drainages"|Entire district|0|"150k
m"|40|30|30|25|25|"Kabwe Municipal
Council and RDA"||||||||||||||||||||||
170|IDP_MAIN|||"Construction and
maintenance of 50 Km
township roads and
drainages"|Entire district|0|50km|10|10|10|10|10|"Kabwe Municipal
Council and RDA"||||||||||||||||||||||
170|IDP_MAIN|||"Gazetting/Street
/naming of 120
undefined
township/feeder
roads"|Entire district|0|"120
street
s"|40|20|20|20|20|"Kabwe Municipal
Council"||||||||||||||||||||||
170|IDP_MAIN|||"Procurement of road
cinstruction
equioment (grader,
compactor, tipper,
excavator)"|Entire district|1|7||3||4||Kabwe M. Council||||||||||||||||||||||
170|IDP_MAIN|||Objective 2: To construct 2 bridges by 2027|||||||||||||||||||||||||||||||
200|IDP_MAIN||To reduce the rate of deforestation from 85% to 20% by the end of 2027|||||||||||Objective|||||||||||||||||||||
200|IDP_MAIN||"Forestry
management"|"Development of
Integrated Natural
Resource
Management Plan"|CBD||1|||||||"Development of
integrated
natural resource
management
plans for effective
forest
management"|0||1|||Forestry Department|||||||||||||||
200|IDP_MAIN||"Forestry
management"|"Conducting 30
Beekeeping trainings
to 900 farmers"|"All
Wards"||30|||10||||"Promotion of
forest-based
enterprises"|0|10|10|||Forestry Department|||||||||||||||
200|IDP_MAIN||"Forestry
management"|"Conducting 5
Mushroom
propagation
trainings to 150
Farmers"|"All
Wards"||5|||1||||"Promotion of
forest-based
enterprises"|0|1|1|1|1|Forestry Department|||||||||||||||
340|IDP_MAIN|||To reduce the rate of deforestation from by the end of 2027||||||||||Objective|||||||||||||||||||||
340|IDP_MAIN|||"Development of
Integrated
Natural Resource
Management
Plan"|||||||||"Forestry Depart
ment"|"Developme
nt of
integrated
natural
resource
managemen
t plans for
effective
forest
managemen
t"|||||||CBD|0|1||1|||||||||"No. of plans
prepared"|"One
off"
340|IDP_MAIN|||"Conducting 30
Beekeeping
trainings to 900
farmers"|||||||||"Forestry
Department"|"Promotion
of forest-
based
enterprises"|||||||"All
Wards"|0|30|10|10|10||||||||"No. trainings
conducted,
No. trained"|Qtrly
340|IDP_MAIN|||"Conducting 5
Mushroom
propagation
trainings to 150
farmers"|||||||||"Forestry
Department"|"Promotion
of forest-
based
enterprises"|||||||"All
Wards"|0|5|1|1|1|1|1||||||"No. trainings
conducted,
No. trained"|Qtrly
340|IDP_MAIN|||"Establishment of
500 woodlots by
2026"|||||||||"Forestry
Department"|"To reduce
deforestatio
n through
establishme
nt of 500
woodlots by
2026"|||||||"All
Wards"|0|500|100|100|100|100|100||||||"No. woodlots
created"|"Annua
l"
340|IDP_MAIN|||"Establishment of
100 agroforestry
plots"|||||||||"Forestry
Department"|"To reduce
deforestatio
n through
establishme
nt of 100
agroforestry"|||||||"All
Wards"|0|100|20|20|20|20|20||||||"No.of plots
created"|"Annua
l"
