project_id|council|project_name|sector|constituency|ward|approved_amount_zmw|status|funding_source|source_doc|scraped_at
KAB-0032|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0033|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0034|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0035|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0036|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0037|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0038|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0039|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0040|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0041|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0042|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0043|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0044|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0045|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0046|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0047|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0048|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0049|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0050|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0051|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0052|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0053|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0054|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0055|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0056|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0057|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0058|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0059|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0060|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0061|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0062|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0063|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
KAB-0064|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T15:47:17.663407
