page|value|unit|context|source_doc
109|1000|teachers|ly Childhood, Primary and Secondary Schools over the next 10 years, there will be need for the following: Deployment of 1000 teachers Procurement of about 30,961 desks Construction of about 900 staff houses Construction of 1000 classrooms 91|IDP_MAIN
109|30961|desks|Schools over the next 10 years, there will be need for the following: Deployment of 1000 teachers Procurement of about 30,961 desks Construction of about 900 staff houses Construction of 1000 classrooms 91|IDP_MAIN
110|147|schools|posed Investment Program Existing Investment Proposed Programmes ⚫ DEBS Office ⚫ Construction of a Boarding School at ⚫ 147 Schools Kafulamase Primary School. ⚫ Construction of a 1x2, 1x3 CRBs, 1x2 ⚫ Construction of a Boarding School at Munga Science|IDP_MAIN
124|4|road|armacy 18 11 7 Physiotherapy 0 0 0 Radiology 0 0 0 Teaching 0 0 0 Grand Total 1,127 821 306 Source: MoH,2021 3.10.2.1.8.4 Road Network and Health Facilities Except for Mine, Kabwe General hospitals and a few facilities within Kabwe town, all othe|IDP_MAIN
128|1|population|ity Lukanga water bituminous Refuse Pit Post supply 3.10.3 Impact of Changes Anticipated Over the Next Ten Years 3.10.3.1 Population Change Vs Future Demand for Services and Facilities According to 2022 Census of Population and Housing Preliminary Repo|IDP_MAIN
132|29|wards|g poor and vulnerable households within the district to mitigate intergenerational poverty. The program operates across 29 wards, benefiting approximately 10,766 clients. Of these, 7,062 beneficiaries receive payments digitally through various serv|IDP_MAIN
135|1|population|wo East 5 Proliferation of informal settlements 3.12.1.4 Impact of Changes Anticipated Over the Next Ten Years 3.12.1.4.1 Population Change on the Future Demand for services and Facilities The projected population growth for the IDP area from 299,206 i|IDP_MAIN
135|3720|plots|nce, the Local Authority from 2010 to 2022 received a total number of 12,473 applications for land in comparison to the 3720 plots that were advertised. The table shows the number of applications received for land in comparison to available plots. 11|IDP_MAIN
143|2035|population|ssil. 3.13.1.4 Impact of Changes Anticipated over the next ten Years Analysis on 25-year span (2010-2035) shows that by 2035, population in the age groups (0-14) and (15-65) will increase by 41.5%. The implications for this increase is that, demand for pub|IDP_MAIN
144|19829|households|d Wells. In rural areas of Kabwe water is being supplied through drilled boreholes, and protected Wells. A total number 19829, households are connected to the Lukanga Water and Sanitation company water network. Approximately seventy (70) percent of the popu|IDP_MAIN
152|0|people|s started period between 1995 and 1996 at the start of the privatization in Zambia. Currently the District has over 10, 000 people living in the three forest reserves of Kabwe District. With the anthropogenic activities brought about as a result of 1|IDP_MAIN
153|20|boreholes|bstracted by LgWSC from approximately 1,000,700m3 to 700,000 m3 per annum from 2015 to 2020. Kalulu Plant initially had 20 boreholes in operation abstracting water at 200m3 per hour but were closed down. Only six boreholes were operational and could on|IDP_MAIN
160|20|markets|trict has only 6 Skip bins which are being used for waste storage. These are inadequate, for the District has more than 20 markets. iii. Unsecured dumpsite which gives access to scavengers and stray animals. iv. No recycling companies in the District|IDP_MAIN
170|25|km|ds and Council and RDA drainages Construction and maintenance of 150 150k Kabwe Municipal Entire district 0 40 30 30 25 25 km feeder roads and m Council and RDA drainages Infrastructure Improve development Construction and access to rural mainte|IDP_MAIN
170|50|km|oads and m Council and RDA drainages Infrastructure Improve development Construction and access to rural maintenance of 50 Km Kabwe Municipal Entire district 0 50km 10 10 10 10 10 and urban township roads and Council and RDA areas. drainages Rel|IDP_MAIN
171|140|km|1 1 National Airport Airport Objective 4: To protect 50km of railway infrastructure from encroachments and rehabilitate 140 km rail line stretch by 2027 Repossession of 50KM Along the strip rail Kabwe 0 50 10 10 10 10 10 encroached Rail land Rese|IDP_MAIN
171|140|km|oached Rail land Reserves Municipal/ ZRL Rehabilitation of the 140k Kabwe Entire district 0 28 28 28 28 28 rail Line of 140 km m Municipal/ ZRL Objective 5: To reduce poverty at Household level from 60% to 44.7% by 20227 Conduct sensitization mee|IDP_MAIN
171|0|ward|44.7% by 20227 Conduct sensitization meetngs on the 29 20 MSMED- Facilitate for formation of 9 Department of All wards 0 ward ward 0 0 0 Business cooperatives in the wards Cooperatives, s s Development identified priority Local Authority among c|IDP_MAIN
172|13|markets|ce travel toilets in existing bus Green Market Station 2 2 1 1 KMC, MLGRD stations Objective 7: To develop and maintain 13 markets by 2027 Rehabilitation of Chimanimani, Nakoli, 0 4 2 2 KMC, MLGRD Construction toilets at Market Njanji, Katondo of mod|IDP_MAIN
184|65000|desks|blocks in 3 bwafwano, 0 6 2 2 2 MOE classroom development primary schools Nkruma Ext blocks Procurement School Procure 65000 desks in all All schools in 6500 0 2,800 16,142 16,142 16,142 16,144 MOE of desks Furniture schools the district 0 Constructi|IDP_MAIN
185|29|wards|Community Intensify sensitization and Sanitation Sanitation demonstrations in and hygiene All the 29 Wards 12 60 12 12 12 12 12 KMC, GRZ and Hygiene sanitation and hygiene promotion promotion promotion Sensitization and Orient|IDP_MAIN
185|29|wards|GRZ and Hygiene sanitation and hygiene promotion promotion promotion Sensitization and Orientation Training of All the 29 Wards 0 145 29 29 29 29 29 KMC, GRZ Empties Emptying of On-Site Fecal Sludge Procurement of EVAC, Sanitation Management Tools|IDP_MAIN
185|29|wards|9 KMC, GRZ Empties Emptying of On-Site Fecal Sludge Procurement of EVAC, Sanitation Management Tools; PPE's and All the 29 Wards 0 29 9 10 10 KMC, GRZ Facilities Chemicals Procurement of Vacuum All the 29 Wards 1 1 1 KMC, GRZ tanker Procure skip bi|IDP_MAIN
