page|value|unit|context|source_doc
268|90000000|hospitals|Number of health /CO Expansion of 3 machinery, Makululu Mini facilities expanded MOH/GRZ OPERATIN Laboratories building 90,000,000 Hospitals,Bwacha with Laboratories G matrerials PARTNERS Man power, N|IDP_MAIN
270|2850000|health post|re Construction of 19 machinery, Magandanyama incinerators MoH, GRZ CDF public health development Incinerators building 2,850,000 Health Post, constructed matrerials Mahatma Gandhi Health Centre, Kato|IDP_MAIN
271|950000|health post|n of 19 Number of Placenta machinery, Magandanyama MoH, GRZ MOH/CDF development Placenta Pits Pits constructed building 950,000 Health Post, matrerials Mahatma Gandhi Health Centre, Katondo Health Cen|IDP_MAIN
274|35|health post|re fences constructed Chililalila Health matrerials Post, Chitakata A Number of Secure of 35 Infrastructure Securing of 35 Health Post, Human KCM/Minis properties secured MoH, KMC property tittles dev|IDP_MAIN
286|2500|plots|acilities building g partners facilities rehabilitated materials Objectives To provide adequate and affordable land for 2500 plots by 2027 Socio economic Kangomba, Mpima,Waya, Number of KMC KMC, MoL s|IDP_MAIN
299|50|km|c I of e v o r a C m o a n in s t t e ru n c a t n io ce n a n o d f Entire 50k t r o o w ad n s s hi a p n d KMC and p 50 Km township 0 10 10 10 10 10 drainages Qtrly m district m RDA I roads and reh|IDP_MAIN
300|140|km|constructe y Airport I d la Objective 4: To protect 50km of railway infrastructure from encroachments and rehabilitate 140 km rail line stretch by 2027 r e v o s s r e p c m u c o a r t .s a e r a n a|IDP_MAIN
301|140|km|ehabilitation of Kabwe Entire of rail line the rail Line of 0 140 28 28 28 28 28 Qtrly Municipal/ district rehabilitate 140 km ZRL d Objective 5: To reduce poverty at Household level from 60% to 44.7%|IDP_MAIN
302|13|markets|ilets in existing Market 2 2 1 1 rehabiliate 8 MLGRD a bus stations Station ts d E Objective 7: To develop and maintain 13 markets by 2027 fo Chima e c n a n e tn ia s te k r a m R to e i h le a t b s|IDP_MAIN
316|1490|teachers|Education By 2027 tives Impro No. of ve on Teacher Deployment of 1 1 1 1 teachers on- Across the 325 14 staffin Deploy 1490 teachers 149 149 149 149 149 4 4 4 149 4 deploye goin MOE district 7 90 g me|IDP_MAIN
325|10|boreholes|drilled (water schemes) Number of Rehabilitation of quar All wards 0 52 10 5 15 12 10 boreholes LgWSC 52 boreholes terly rehabilitat ed Installation of C r e water kiosks S W ta w d (Munyama, L e n a |IDP_MAIN
325|52|boreholes|drilled (water schemes) Number of Rehabilitation of quar All wards 0 52 10 5 15 12 10 boreholes LgWSC 52 boreholes terly rehabilitat ed Installation of C r e water kiosks S W ta w d (Munyama, L e n a |IDP_MAIN
325|16|wards|s m o o l u g a a i a w w , s a n n b t h i j s i o o , a a e K , n W W g a E b a a a a e , w s y n s t a t e d , , , , 16 wards 0 16 4 4 4 4 N o k in i f u o s w t s m a k a l b s l t e e e d r r q t|IDP_MAIN
337|29|wards|"- 1 "" a 0 ' - 1 "" a 0 ' -"" 1 0 a ' - 1 "" a 0 ' - 1 "" a 0 ' -"" 1 0 a ' - 1 "" a 0 ' Number of Annual prevention All wards 29 wards 129 wards ITNs public health Residual $ $ $ $ $ $ $ $ $ $ ly and contro"|IDP_MAIN
337|129|wards|"' - 1 "" a 0 ' -"" 1 0 a ' - 1 "" a 0 ' - 1 "" a 0 ' -"" 1 0 a ' - 1 "" a 0 ' Number of Annual prevention All wards 29 wards 129 wards ITNs public health Residual $ $ $ $ $ $ $ $ $ $ ly and control 0-, 0-, "|IDP_MAIN
337|129|wards|ommunity Number of Engagement community and 29 29 29 29 29 29 29 29 29 29 engagement 29 Quarter Sensitization All wards 129 wards ward war war war war war war war war war and wards ly Meetings in s ds|IDP_MAIN
340|900|wards|motion Conducting 30 No. trainings of forest- Beekeeping All Forestry 0 30 10 10 10 conducted, Qtrly based trainings to 900 Wards Department No. trained enterprises farmers Conducting 5 Promotion Mush|IDP_MAIN
340|100|wards|forestatio n through Establishment of All No. woodlots Annua Forestry establishme 500 woodlots by 0 500 100 100 100 100 100 Wards created l Department nt of 500 2026 woodlots by 2026 To reduce defores|IDP_MAIN
346|2500|plots|1 1 facilities e of Park l rehabilitat recreation ed facilities Objectives To provide adequate and affordable land for 2500 plots by 2027 Kangomba To alienate , Enhance land for No of Creation of Mpim|IDP_MAIN
346|500|plots|027 Kangomba To alienate , Enhance land for No of Creation of Mpima,Wa 50 Annua access to housing 2500 2500 500 500 500 500 plots KMC 2500 Plots ya, 0 l land developmen created Shakumbil t a Objective|IDP_MAIN
346|2500|plots|o alienate , Enhance land for No of Creation of Mpima,Wa 50 Annua access to housing 2500 2500 500 500 500 500 plots KMC 2500 Plots ya, 0 l land developmen created Shakumbil t a Objective To upgrade 14|IDP_MAIN
